RANK,ORDER,TOWER,ACRONYM,WORLD,AREA,DIFFICULTY,NUM,TIME,TIME [s],COMPLETION DATE,NOTES
1,196,Citadel of Heights and Depths,CoHaD,1,Ring 03,06 - Intense,6.13,221:10.20,13270.20,2023-09-23 17:57:32,
2,222,Tower of Great Displeasure,ToGD,2,Zone 02,07 - Remorseless,7.17,127:18.67,7638.67,2024-05-25 13:27:14,
3,276,"Tower of The Umbrella, The User",ToTUTU,1,Ring 08: The Starlit Archives,06 - Intense,6.32,114:39.27,6879.27,2025-06-14 22:00:30,
4,204,Tower of Oblivion,ToO,1,Ring 04,06 - Intense,6.97,107:26.78,6446.78,2023-11-21 19:50:37,
5,207,Tower of Guided Trials,ToGT,2,Zone 05,06 - Intense,6.52,107:11.47,6431.47,2023-12-09 20:33:55,
6,99,Tower of Heiwana Kaze,ToHK,2,Zone 05,06 - Intense,6.33,105:44.50,6344.50,2022-12-27 13:27:17,
7,168,Tower of Aamos' Anger,ToAA,1,Ring 08,05 - Challenging,5.75,105:07.61,6307.61,2023-05-21 21:34:12,
8,131,Tower of Deep Darkness,ToDD,1,Ring 02,05 - Challenging,5.80,101:53.29,6113.29,2023-02-04 22:55:48,
9,166,Tower of Hefty Magnitude,ToHM,2,Zone 06,05 - Challenging,5.88,101:39.69,6099.69,2023-05-07 11:18:33,
10,251,Tower of Nothing New,ToNN,2,Zone 09,06 - Intense,6.73,97:10.66,5830.66,2024-10-14 20:08:54,
11,324,Citadel of Treachery,CoT,2,Zone 01: Steelspire Horizon,06 - Intense,6.95,95:11.27,5711.27,2026-02-06 21:14:28,
12,265,Tower of Resonant Landscapes,ToRL,2,Zone 10,05 - Challenging,5.32,91:01.63,5461.63,2025-04-06 11:08:33,
13,267,Tower of Expecting The Unexpected,ToETU,2,Zone 10,06 - Intense,6.79,90:24.21,5424.21,2025-04-08 23:58:46,
14,98,Tower of Sovereign Travelling,ToST,2,Zone 05,03 - Hard,3.40,89:37.12,5377.12,2022-12-13 19:53:36,
15,182,Tower of There Is No Tower,ToTINT,1,Ring 04: Silent Abyss,05 - Challenging,5.42,89:17.60,5357.60,2023-08-05 17:45:05,
16,300,Citadel of Victory,CoV,1,Ring 00,04 - Difficult,4.25,88:57.33,5337.33,2025-10-27 19:58:00,
17,155,Citadel of Weird Nostalgia,CoWN,1,Ring 01: Forgotten Ridge,06 - Intense,6.96,87:49.00,5269.00,2023-03-21 21:24:03,Have not beaten the revamp
18,227,Citadel of Pyramid Escapades,CoPE,2,Zone 08,07 - Remorseless,7.07,83:51.96,5031.96,2024-07-05 10:55:22,
19,269,Tower of The Despondent Fortress,ToTDF,2,Zone 10,07 - Remorseless,7.24,83:35.86,5015.86,2025-04-12 14:07:57,
20,191,Citadel of Laptop Splitting,CoLS,1,Ring 01,06 - Intense,6.50,83:06.06,4986.06,2023-09-02 16:35:25,
21,288,Tower of Power Laws,ToPL,2,Zone 10,07 - Remorseless,7.86,80:53.58,4853.58,2025-09-23 10:47:31,Current Hardest
22,214,Citadel of Scythe Recognition,CoSR,1,Ring 06,07 - Remorseless,7.34,77:58.24,4678.24,2024-03-29 21:52:24,
23,117,Tower of Cyclonic Isles,ToCI,2,Zone 03: Paradise Atoll,05 - Challenging,5.76,77:22.87,4642.87,2023-01-19 19:08:23,
24,137,Citadel of Corporate Enterprise,CoCE,2,Zone 05,06 - Intense,6.79,75:14.08,4514.08,2023-02-20 12:22:34,
25,164,Tower of X Madness,ToXM,2,Zone 08,04 - Difficult,4.96,75:12.07,4512.07,2023-04-18 18:56:20,
26,62,Tower of Yearning Success,ToYS,2,Zone 01,04 - Difficult,4.92,74:57.46,4497.46,2022-10-23 10:19:25,
27,173,Tower of Extraordinary Adventures,ToEA,1,Ring 05,06 - Intense,6.12,74:05.30,4445.30,2023-07-09 16:05:22,
28,170,Tower of Unhealthy Escalation,ToUE,2,Zone 05,05 - Challenging,5.99,73:15.99,4395.99,2023-06-29 11:54:13,
29,126,Tower of Twisted Inquisition,ToTI,1,Ring 06,05 - Challenging,5.45,72:58.36,4378.36,2023-01-29 22:12:38,
30,160,Tower of Witchcraft and Wizardry,ToWaW,1,Ring 05: Lost River,06 - Intense,6.74,70:03.33,4203.33,2023-04-09 16:22:34,
31,103,Citadel of Inside Situations,CoIS,1,Ring 05: Lost River,04 - Difficult,4.60,70:00.12,4200.12,2023-01-01 01:43:06,First Citadel
32,177,Citadel of Twists and Weirdness,CoTaW,2,Zone 06,06 - Intense,6.06,69:52.36,4192.36,2023-07-31 20:10:29,
33,238,Citadel of Uneasiness,CoU,1,Ring 04,06 - Intense,6.80,68:37.46,4117.46,2024-08-01 16:30:53,
34,293,Tower of Prismatic Instability,ToPI,2,Zone 10,07 - Remorseless,7.52,68:33.65,4113.65,2025-10-05 14:00:55,
35,59,Tower of Ground Level Ascension,ToGLA,2,Zone 02,03 - Hard,3.57,67:17.90,4037.90,2022-10-16 09:30:41,
36,283,Tower of House Without Home,ToHWH,1,Ring 08: The Starlit Archives,07 - Remorseless,7.35,66:59.75,4019.75,2025-06-22 23:23:51,
37,272,Tower of Warranted Retribution,ToWR,1,Ring 08: The Starlit Archives,06 - Intense,6.75,65:09.65,3909.65,2025-06-14 17:00:03,
38,327,Tower of Insanely Innovative Ideas,ToIII,1,Ring 08,06 - Intense,6.99,64:52.87,3892.87,2026-08-04 22:10:42,
39,282,Tower of A Disillusioned Existence,ToADE,1,Ring 08: The Starlit Archives,06 - Intense,6.57,63:00.18,3780.18,2025-06-16 12:01:09,
40,228,Citadel of Constant Heart Stopping,CoCHS,1,Ring 08,06 - Intense,6.49,62:42.24,3762.24,2024-07-15 19:40:52,
41,338,Tower of Incoming Danger,ToID,2,Zone 05: Dark Side of the Moon,06 - Intense,6.64,62:30.58,3750.58,2026-08-23 17:04:35,
42,157,Tower of Mechanically Induced Mayhem,ToMIM,2,Zone 04,06 - Intense,6.02,61:35.72,3695.72,2023-04-05 16:15:41,
43,133,Tower of Angled Scenery,ToAS,2,Zone 06,05 - Challenging,5.54,60:12.34,3612.34,2023-02-05 19:18:30,
44,96,Tower of Cogs and Steam,ToCaS,2,Zone 03,04 - Difficult,4.66,59:20.45,3560.45,2022-12-08 20:30:48,
45,243,Tower of Uneasy Scaling,ToUS,1,Ring 08,06 - Intense,6.66,58:32.02,3512.02,2024-08-16 11:37:33,
46,158,Tower of Slipping and Sliding,ToSaS,2,Zone 02,05 - Challenging,5.74,58:28.34,3508.34,2023-04-07 16:53:10,
47,80,Tower of Rushed Building,ToRB,1,Ring 07,04 - Difficult,4.58,58:04.22,3484.22,2022-11-20 17:09:47,
48,263,Tower of One Two Three Four,ToOTTF,2,Zone 10,07 - Remorseless,7.12,57:49.32,3469.32,2025-04-05 14:04:36,
49,89,Tower of Elevator Travelling,ToET,2,Zone 04,04 - Difficult,4.51,57:29.74,3449.74,2022-11-26 23:23:00,
50,144,Tower of Wanting Extra Levels,ToWEL,2,Zone 01,05 - Challenging,5.91,57:15.61,3435.61,2023-03-12 19:00:26,
51,341,Tower of Mind Games,ToMG,2,Zone 05: Dark Side of the Moon,07 - Remorseless,7.67,56:00.86,3360.86,2026-09-02 19:08:45,
52,187,Tower of Distorted Aerodynamics,ToDA,1,Ring 07,05 - Challenging,5.85,55:46.14,3346.14,2023-08-17 17:19:51,
53,159,Citadel of Green Stuff,CoGS,2,Zone 02,06 - Intense,6.39,55:42.80,3342.80,2023-04-08 15:36:26,
54,171,Tower of Hazardous Laddering,ToHL,2,Zone 06,06 - Intense,6.25,55:05.15,3305.15,2023-07-09 09:58:53,
55,169,Tower of Extraterrestrial Enchantment,ToEE,2,Zone 02,06 - Intense,6.49,54:59.66,3299.66,2023-06-24 14:40:32,
56,241,Tower of Time and Space Manipulation,ToTaSM,2,Zone 08,07 - Remorseless,7.38,54:37.61,3277.61,2024-08-09 17:54:47,
57,104,Tower of Orientating Oscilating Opinions,ToOOO,1,Ring 07,06 - Intense,6.29,53:09.89,3189.89,2023-01-10 18:07:47,
58,256,Tower of Tallying Every Mistake,ToTEM,1,Ring 05: Lost River,07 - Remorseless,7.00,52:45.47,3165.47,2024-11-25 19:42:43,
59,328,Tower of Big Blocky Beefy Buttons,ToBBBB,2,Zone 09,07 - Remorseless,7.70,52:21.24,3141.24,2026-08-15 09:00:35,
60,221,Tower of Icy Adventures,ToIA,2,Zone 02: Arcane Area,07 - Remorseless,7.03,51:53.62,3113.62,2024-05-24 22:59:25,
61,323,Tower of Geometric Kinetics,ToGK,2,Zone 01: Steelspire Horizon,07 - Remorseless,7.33,51:27.34,3087.34,2026-01-25 18:29:11,
62,105,Tower of Voluminous Framework,ToVF,1,Ring 08,05 - Challenging,5.25,51:10.99,3070.99,2023-01-10 19:48:28,Beaten when it was Tower of Insult To Injury
63,102,Tower of Losing Our Zeal,ToLOZ,1,Ring 05: Lost River,04 - Difficult,4.86,50:52.83,3052.83,2022-12-29 12:49:25,
64,134,"Tower of Break It, Buy It",ToBIBI,2,Zone 06,05 - Challenging,5.38,50:52.46,3052.46,2023-02-06 19:49:25,
65,275,Steeple of After-Life Detention,SoALD,1,Ring 08: The Starlit Archives,05 - Challenging,5.26,50:37.87,3037.87,2025-06-14 19:32:05,
66,200,Tower of Flustering Sections,ToFS,1,Ring 06,06 - Intense,6.71,49:15.61,2955.61,2023-10-03 16:58:49,
67,115,Tower of Wicked Wedges,ToWW,2,Zone 04,04 - Difficult,4.69,49:04.34,2944.34,2023-01-17 18:38:07,
68,337,Tower of Questions,ToQ,2,Zone 05: Dark Side of the Moon,07 - Remorseless,7.21,49:01.56,2941.56,2026-08-23 16:00:57,
69,5,Tower of Killjoys,ToK,1,Ring 01,03 - Hard,3.47,48:59.37,2939.37,2022-05-14 13:09:16,
70,244,Steeple of Midnight Acropolis,SoMA,1,Ring 04: Silent Abyss,07 - Remorseless,7.34,48:58.16,2938.16,2024-09-09 00:38:42,
71,161,Tower of A Tetromino Disaster,ToATD,2,Zone 08,04 - Difficult,4.78,48:40.58,2920.58,2023-04-15 21:38:41,
72,111,Tower of Mild Agitation,ToMA,2,Zone 03,04 - Difficult,4.59,47:32.19,2852.19,2023-01-13 17:50:13,
73,90,Tower of Dimensional Hopping,ToDH,2,Zone 03,04 - Difficult,4.38,47:06.59,2826.59,2022-11-28 20:24:39,
74,132,Tower of Collective Collaboration,ToCC,1,Ring 07,05 - Challenging,5.46,46:58.76,2818.76,2023-02-05 12:30:35,
75,121,Tower of Conflicting Frontiers,ToCF,2,Zone 06,05 - Challenging,5.19,46:51.01,2811.01,2023-01-20 21:54:44,
76,208,Tower of Swift and Precise Sections,ToSaPS,2,Zone 07,06 - Intense,6.78,46:25.88,2785.88,2023-12-23 09:56:59,
77,219,Tower of Quirky Contraptions,ToQC,2,Zone 03,06 - Intense,6.18,46:13.10,2773.10,2024-05-19 13:00:05,
78,314,Tower of Weird Energy,ToWE,2,Zone 01: Steelspire Horizon,05 - Challenging,5.12,45:43.52,2743.52,2026-01-24 23:21:20,
79,239,Tower of Really Nasty Ideas,ToRNI,2,Zone 01,07 - Remorseless,7.19,45:21.47,2721.47,2024-08-07 19:33:27,
80,143,Tower of Vibrant Adventures,ToVA,1,Ring 08,05 - Challenging,5.60,45:20.76,2720.76,2023-03-11 20:53:57,
81,156,Tower of True Skill,ToTS,1,Ring 01,07 - Remorseless,7.09,45:10.08,2710.08,2023-04-04 11:26:37,
82,85,Tower of Contractual Obligations,ToCO,2,Zone 01,04 - Difficult,4.46,45:07.84,2707.84,2022-11-25 12:41:27,
83,124,Tower of Diverging Layers,ToDL,1,Ring 05: Lost River,05 - Challenging,5.37,44:17.47,2657.47,2023-01-26 19:53:03,"Rebeat, original time not recorded"
84,18,Tower of Funny Thoughts,ToFT,1,Ring 03,01 - Easy,1.70,44:15.40,2655.40,2022-05-20 20:19:26,Revamp
85,266,Tower of Valiant Verges,ToVV,2,Zone 10,05 - Challenging,5.95,43:18.22,2598.22,2025-04-06 16:02:08,
86,127,Tower of Feeling Lazy,ToFL,1,Ring 07,05 - Challenging,5.60,43:03.83,2583.83,2023-01-31 19:42:56,
